INTERSECTION_ID,X_2263,Y_2263,BOROUGH,LocationDescription,HAS_SIGNAL,HAS_CRASH,CRASH_COUNT_50FT,COMPLAINT_COUNT_50FT,Signalized,Stop_Controlled,Uncontrolled,RISK_SCORE
BRONX @ Unknown Location,1011651.0,248133.0,BRONX,,0,1,36,64,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1030789.0,255839.0,BRONX,,0,1,32,62,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1029398.0,246616.0,BRONX,,0,1,12,72,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1009761.0,252470.0,BRONX,,0,1,20,61,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1027947.0,263006.0,BRONX,,0,1,29,81,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1030395.0,255674.0,BRONX,,0,1,23,68,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1011485.0,237929.0,BRONX,,0,1,12,169,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1009431.0,232962.0,BRONX,,0,1,30,66,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1006261.0,242011.0,BRONX,,0,1,31,62,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1016374.0,260077.0,BRONX,,0,1,12,70,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1016381.0,237835.0,BRONX,,0,1,12,65,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1008000.0,247210.0,BRONX,,0,1,76,65,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1023619.0,242997.0,BRONX,,0,1,9,61,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1011089.0,234274.0,BRONX,,0,1,42,66,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1008624.0,236597.0,BRONX,,0,1,15,146,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1032324.0,256108.0,BRONX,,0,1,18,86,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1004749.0,240880.0,BRONX,,0,1,39,69,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1012428.0,235518.0,BRONX,,0,1,107,73,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1009886.0,250359.0,BRONX,,0,1,38,98,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1008578.0,232422.0,BRONX,,0,1,113,92,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1014509.0,238113.0,BRONX,,0,1,120,114,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1020814.0,252081.0,BRONX,,0,1,11,77,0,0,1,0.9979075336092761
BRONX @ Unknown Location,1012791.0,238814.0,BRONX,,0,1,7,52,0,0,1,0.997286559529459
BRONX @ Unknown Location,1013816.0,237240.0,BRONX,,0,1,54,56,0,0,1,0.997286559529459
BRONX @ Unknown Location,1024017.0,265601.0,BRONX,,0,1,9,51,0,0,1,0.997286559529459
BRONX @ Unknown Location,1024530.0,266641.0,BRONX,,0,1,3,50,0,0,1,0.997286559529459
BRONX @ Unknown Location,1020984.0,242288.0,BRONX,,0,1,4,52,0,0,1,0.997286559529459
BRONX @ Unknown Location,1015859.0,260157.0,BRONX,,0,1,8,51,0,0,1,0.997286559529459
BRONX @ Unknown Location,1023686.0,264804.0,BRONX,,0,1,36,55,0,0,1,0.997286559529459
BRONX @ Unknown Location,1020921.0,253797.0,BRONX,,0,1,4,51,0,0,1,0.997286559529459
BRONX @ Unknown Location,1027711.0,247684.0,BRONX,,0,1,2,50,0,0,1,0.997286559529459
BRONX @ Unknown Location,1017963.0,244915.0,BRONX,,0,1,26,50,0,0,1,0.997286559529459
STATEN ISLAND @ Unknown Location,941450.0,133962.0,STATEN ISLAND,,0,1,14,74,0,0,1,0.9972238284936944
STATEN ISLAND @ Unknown Location,952963.0,146099.0,STATEN ISLAND,,0,1,26,107,0,0,1,0.9972238284936944
STATEN ISLAND @ Unknown Location,939151.0,160534.0,STATEN ISLAND,,0,1,33,64,0,0,1,0.9972238284936944
STATEN ISLAND @ Unknown Location,937062.0,143743.0,STATEN ISLAND,,0,1,37,107,0,0,1,0.9972238284936944
STATEN ISLAND @ Unknown Location,962638.0,150323.0,STATEN ISLAND,,0,1,15,85,0,0,1,0.9972238284936944
STATEN ISLAND @ Unknown Location,937086.0,144603.0,STATEN ISLAND,,0,1,12,89,0,0,1,0.9972238284936944
STATEN ISLAND @ Unknown Location,930389.0,134555.0,STATEN ISLAND,,0,1,2,70,0,0,1,0.9972238284936944
STATEN ISLAND @ Unknown Location,939306.0,148927.0,STATEN ISLAND,,0,1,5,65,0,0,1,0.9972238284936944
STATEN ISLAND @ Unknown Location,937069.0,147293.0,STATEN ISLAND,,0,1,23,50,0,0,1,0.9970220767469623
STATEN ISLAND @ Unknown Location,937703.0,153893.0,STATEN ISLAND,,0,1,25,58,0,0,1,0.9970220767469623
STATEN ISLAND @ Unknown Location,934531.0,134437.0,STATEN ISLAND,,0,1,4,54,0,0,1,0.9970220767469623
STATEN ISLAND @ Unknown Location,943160.0,147302.0,STATEN ISLAND,,0,1,13,58,0,0,1,0.9970220767469623
STATEN ISLAND @ Unknown Location,937478.0,165774.0,STATEN ISLAND,,0,1,26,53,0,0,1,0.9970220767469623
STATEN ISLAND @ Unknown Location,950223.0,162661.0,STATEN ISLAND,,0,1,12,54,0,0,1,0.9970220767469623
STATEN ISLAND @ Unknown Location,951999.0,168438.0,STATEN ISLAND,,0,1,14,51,0,0,1,0.9970220767469623
STATEN ISLAND @ Unknown Location,939288.0,156201.0,STATEN ISLAND,,0,1,13,56,0,0,1,0.9970220767469623
STATEN ISLAND @ Unknown Location,943472.0,169258.0,STATEN ISLAND,,0,1,22,58,0,0,1,0.9970220767469623
STATEN ISLAND @ Unknown Location,939697.0,167579.0,STATEN ISLAND,,0,1,2,52,0,0,1,0.9970220767469623
BRONX @ Unknown Location,1012701.0,253506.0,BRONX,,0,1,32,48,0,0,1,0.9969913487119078
BRONX @ Unknown Location,1031378.0,245580.0,BRONX,,0,1,1,44,0,0,1,0.9969913487119078
BRONX @ Unknown Location,1032405.0,256434.0,BRONX,,0,1,3,48,0,0,1,0.9969913487119078
BRONX @ Unknown Location,1012946.0,242977.0,BRONX,,0,1,14,48,0,0,1,0.9969913487119078
BRONX @ Unknown Location,1021972.0,265517.0,BRONX,,0,1,53,46,0,0,1,0.9969913487119078
BRONX @ Unknown Location,1015036.0,243767.0,BRONX,,0,1,13,45,0,0,1,0.9969913487119078
BRONX @ Unknown Location,1008051.0,247302.0,BRONX,,0,1,42,47,0,0,1,0.9969913487119078
STATEN ISLAND @ Unknown Location,956061.0,154007.0,STATEN ISLAND,,0,1,4,43,0,0,1,0.9968444117723431
STATEN ISLAND @ Unknown Location,936500.0,143901.0,STATEN ISLAND,,0,1,28,48,0,0,1,0.9968444117723431
STATEN ISLAND @ Unknown Location,945477.0,138897.0,STATEN ISLAND,,0,1,3,45,0,0,1,0.9968444117723431
STATEN ISLAND @ Unknown Location,952590.0,150611.0,STATEN ISLAND,,0,1,6,43,0,0,1,0.9968444117723431
STATEN ISLAND @ Unknown Location,948649.0,142063.0,STATEN ISLAND,,0,1,17,41,0,0,1,0.9968444117723431
STATEN ISLAND @ Unknown Location,943527.0,166983.0,STATEN ISLAND,,0,1,32,43,0,0,1,0.9968444117723431
STATEN ISLAND @ Unknown Location,940559.0,160846.0,STATEN ISLAND,,0,1,12,45,0,0,1,0.9968444117723431
STATEN ISLAND @ Unknown Location,944270.0,167010.0,STATEN ISLAND,,0,1,9,43,0,0,1,0.9968444117723431
STATEN ISLAND @ Unknown Location,950892.0,143466.0,STATEN ISLAND,,0,1,11,46,0,0,1,0.9968444117723431
STATEN ISLAND @ Unknown Location,937945.0,147935.0,STATEN ISLAND,,0,1,3,42,0,0,1,0.9968444117723431
STATEN ISLAND @ Unknown Location,965889.0,163012.0,STATEN ISLAND,,0,1,8,44,0,0,1,0.9968444117723431
STATEN ISLAND @ Unknown Location,929317.0,142956.0,STATEN ISLAND,,0,1,18,46,0,0,1,0.9968444117723431
STATEN ISLAND @ Unknown Location,953756.0,147132.0,STATEN ISLAND,,0,1,56,48,0,0,1,0.9968444117723431
STATEN ISLAND @ Unknown Location,937159.0,143027.0,STATEN ISLAND,,0,1,5,47,0,0,1,0.9968444117723431
BRONX @ Unknown Location,1023080.0,254638.0,BRONX,,0,1,8,43,0,0,1,0.996840847039667
BRONX @ Unknown Location,1026736.0,258842.0,BRONX,,0,1,24,41,0,0,1,0.996840847039667
BRONX @ Unknown Location,1013463.0,254828.0,BRONX,,0,1,16,41,0,0,1,0.996840847039667
BRONX @ Unknown Location,1014845.0,257494.0,BRONX,,0,1,13,42,0,0,1,0.996840847039667
BRONX @ Unknown Location,1015266.0,257032.0,BRONX,,0,1,9,41,0,0,1,0.996840847039667
BRONX @ Unknown Location,1007648.0,249141.0,BRONX,,0,1,38,41,0,0,1,0.996840847039667
BRONX @ Unknown Location,1020225.0,243870.0,BRONX,,0,1,94,41,0,0,1,0.996840847039667
BRONX @ Unknown Location,1022191.0,243143.0,BRONX,,0,1,38,42,0,0,1,0.996840847039667
BRONX @ Unknown Location,1012537.0,253108.0,BRONX,,0,1,24,41,0,0,1,0.996840847039667
BRONX @ Unknown Location,1012859.0,255736.0,BRONX,,0,1,4,41,0,0,1,0.996840847039667
BRONX @ Unknown Location,1017852.0,260301.0,BRONX,,0,1,38,43,0,0,1,0.996840847039667
BRONX @ Unknown Location,1019402.0,238889.0,BRONX,,0,1,13,41,0,0,1,0.996840847039667
BRONX @ Unknown Location,1013237.0,236496.0,BRONX,,0,1,97,42,0,0,1,0.996840847039667
BRONX @ Unknown Location,1014400.0,256319.0,BRONX,,0,1,13,58,0,0,1,0.9965780203232245
BRONX @ Unknown Location,1015773.0,240835.0,BRONX,,0,1,39,49,0,0,1,0.9963949201404794
BRONX @ Unknown Location,1010580.0,259508.0,BRONX,,0,1,24,49,0,0,1,0.9963949201404794
QUEENS @ Unknown Location,1001122.0,215250.0,QUEENS,,0,1,5,131,0,0,1,0.9963581369435737
QUEENS @ Unknown Location,1030695.0,216093.0,QUEENS,,0,1,6,66,0,0,1,0.9963581369435737
QUEENS @ Unknown Location,1052693.0,187158.0,QUEENS,,0,1,34,63,0,0,1,0.9963581369435737
QUEENS @ Unknown Location,1050931.0,202071.0,QUEENS,,0,1,27,72,0,0,1,0.9963581369435737
QUEENS @ Unknown Location,1023027.0,208317.0,QUEENS,,0,1,10,75,0,0,1,0.9963581369435737
QUEENS @ Unknown Location,1023164.0,198133.0,QUEENS,,0,1,11,64,0,0,1,0.9963581369435737
QUEENS @ Unknown Location,1012825.0,212172.0,QUEENS,,0,1,21,94,0,0,1,0.9963581369435737
QUEENS @ Unknown Location,1027274.0,201690.0,QUEENS,,0,1,11,69,0,0,1,0.9963581369435737
QUEENS @ Unknown Location,1033366.0,181188.0,QUEENS,,0,1,11,63,0,0,1,0.9963581369435737
QUEENS @ Unknown Location,1031447.0,215683.0,QUEENS,,0,1,28,63,0,0,1,0.9963581369435737
QUEENS @ Unknown Location,1030801.0,217286.0,QUEENS,,0,1,16,90,0,0,1,0.9963581369435737
QUEENS @ Unknown Location,1061524.0,213401.0,QUEENS,,0,1,5,89,0,0,1,0.9963581369435737
QUEENS @ Unknown Location,1000215.0,211478.0,QUEENS,,0,1,12,78,0,0,1,0.9963581369435737
